Order_ID,Product_ID,Quantity,Unit_Price,Discount,Customer_ID,Order_Date,Sales_Channel,Payment_Method,Customer_Name,Customer_Segment,City,Province,Region,Product_Name,Category,Subcategory,unit_price_product,Cost_Per_Unit,Gross_Sales,Discount_Amount,Net_Sales,Total_Cost,Profit
ORD-01001,PROD-0027,1,475.67,0.0,CUST-0302,2025-11-08,In-Store,Credit Card,Harper Brown,Consumer,Hamilton,Ontario,Central,Summit Guest Chair,Furniture,Seating,475.67,240.18,475.67,0.0,475.67,240.18,235.49
ORD-01002,PROD-0063,4,141.61,0.0,CUST-0084,2025-04-29,Marketplace,Credit Card,Scarlett Moore,Consumer,Montreal,Quebec,East,Summit Air Fryer,Home & Kitchen,Appliances,141.61,65.17,566.44,0.0,566.44,260.68,305.76
ORD-01002,PROD-0115,3,129.13,0.0,CUST-0084,2025-04-29,Marketplace,Credit Card,Scarlett Moore,Consumer,Montreal,Quebec,East,Harbor Softshell Coat,Apparel,Outerwear,129.13,83.64,387.39,0.0,387.39,250.92,136.47
ORD-01003,PROD-0034,5,123.52,0.05,CUST-0391,2025-01-13,Online,Credit Card,Grace Thomas,Corporate,Fredericton,New Brunswick,Atlantic,Apex Shelf Rack,Furniture,Storage,123.52,63.22,617.6,30.88,586.72,316.1,270.62
ORD-01003,PROD-0029,1,215.51,0.1,CUST-0391,2025-01-13,Online,Credit Card,Grace Thomas,Corporate,Fredericton,New Brunswick,Atlantic,Pioneer Lounge Chair,Furniture,Seating,215.51,148.64,215.51,21.55,193.96,148.64,45.32
ORD-01004,PROD-0097,1,97.54,0.0,CUST-0100,2024-03-28,In-Store,PayPal,Leah Thompson,Corporate,Saskatoon,Saskatchewan,Prairies,Atlas Water Bottle Cage,Sports & Outdoors,Cycling,97.54,63.45,97.54,0.0,97.54,63.45,34.09
ORD-01004,PROD-0076,2,172.3,0.05,CUST-0100,2024-03-28,In-Store,PayPal,Leah Thompson,Corporate,Saskatoon,Saskatchewan,Prairies,Vista Throw Blanket,Home & Kitchen,Decor,172.3,87.06,344.6,17.23,327.37,174.12,153.25
ORD-01005,PROD-0061,2,132.61,0.15,CUST-0549,2025-12-04,Marketplace,Credit Card,Liam Clark,Consumer,Saskatoon,Saskatchewan,Prairies,Atlas Blender,Home & Kitchen,Appliances,132.61,64.11,265.22,39.78,225.44,128.22,97.22
ORD-01005,PROD-0039,1,386.21,0.05,CUST-0549,2025-12-04,Marketplace,Credit Card,Liam Clark,Consumer,Saskatoon,Saskatchewan,Prairies,Summit Planter Stand,Furniture,Decor,386.21,226.33,386.21,19.31,366.9,226.33,140.57
ORD-01005,PROD-0011,3,199.78,0.05,CUST-0549,2025-12-04,Marketplace,Credit Card,Liam Clark,Consumer,Saskatoon,Saskatchewan,Prairies,Evergreen Portable SSD,Electronics,Computing,199.78,130.76,599.34,29.97,569.37,392.28,177.09
ORD-01006,PROD-0022,1,618.78,0.05,CUST-0151,2024-05-03,Phone Order,Credit Card,Liam Johnson,Home Office,Hamilton,Ontario,Central,Apex Executive Desk,Furniture,Office,618.78,418.07,618.78,30.94,587.84,418.07,169.77
ORD-01006,PROD-0028,8,173.49,0.2,CUST-0151,2024-05-03,Phone Order,Credit Card,Liam Johnson,Home Office,Hamilton,Ontario,Central,Vista Stool,Furniture,Seating,173.49,148.65,1387.92,277.58,1110.34,1189.2,-78.86
ORD-01006,PROD-0104,8,154.09,0.1,CUST-0151,2024-05-03,Phone Order,Credit Card,Liam Johnson,Home Office,Hamilton,Ontario,Central,Lumen Sports Bra,Apparel,Athleisure,154.09,82.7,1232.72,123.27,1109.45,661.6,447.85
ORD-01006,PROD-0025,5,405.16,0.0,CUST-0151,2024-05-03,Phone Order,Credit Card,Liam Johnson,Home Office,Hamilton,Ontario,Central,Atlas Meeting Table,Furniture,Office,405.16,272.93,2025.8,0.0,2025.8,1364.65,661.15
ORD-01007,PROD-0036,2,441.84,0.15,CUST-0069,2024-03-30,Online,Credit Card,Isla Mitchell,Corporate,Hamilton,Ontario,Central,Aurora Desk Lamp,Furniture,Decor,441.84,295.4,883.68,132.55,751.13,590.8,160.33
ORD-01007,PROD-0067,5,90.9,0.1,CUST-0069,2024-03-30,Online,Credit Card,Isla Mitchell,Corporate,Hamilton,Ontario,Central,Harbor Glassware Set,Home & Kitchen,Dining,90.9,42.33,454.5,45.45,409.05,211.65,197.4
ORD-01008,PROD-0075,7,207.96,0.0,CUST-0536,2025-03-05,Online,Credit Card,Jack Singh,Corporate,Quebec City,Quebec,East,Summit Vacuum Canister,Home & Kitchen,Storage,207.96,147.6,1455.72,0.0,1455.72,1033.2,422.52
ORD-01008,PROD-0098,1,232.83,0.1,CUST-0536,2025-03-05,Online,Credit Card,Jack Singh,Corporate,Quebec City,Quebec,East,Northwind Phone Mount,Sports & Outdoors,Cycling,232.83,160.65,232.83,23.28,209.55,160.65,48.9
ORD-01009,PROD-0084,3,238.67,0.05,CUST-0293,2025-07-02,Marketplace,Cash,Owen Young,Small Business,Saskatoon,Saskatchewan,Prairies,Aurora Foam Roller,Sports & Outdoors,Fitness,238.67,169.68,716.01,35.8,680.21,509.04,171.17
ORD-01010,PROD-0089,1,180.92,0.15,CUST-0039,2024-06-25,Online,Credit Card,Charlotte Mitchell,Corporate,Toronto,Ontario,Central,Pioneer Cooler Bag,Sports & Outdoors,Travel,180.92,94.42,180.92,27.14,153.78,94.42,59.36
ORD-01010,PROD-0052,2,34.51,0.0,CUST-0039,2024-06-25,Online,Credit Card,Charlotte Mitchell,Corporate,Toronto,Ontario,Central,Vista Document Tray,Office Supplies,Organization,34.51,23.4,69.02,0.0,69.02,46.8,22.22
ORD-01011,PROD-0039,5,386.21,0.15,CUST-0487,2024-10-02,Marketplace,Credit Card,Noah Evans,Consumer,Vancouver,British Columbia,West,Summit Planter Stand,Furniture,Decor,386.21,226.33,1931.05,289.66,1641.39,1131.65,509.74
ORD-01011,PROD-0040,4,623.68,0.2,CUST-0487,2024-10-02,Marketplace,Credit Card,Noah Evans,Consumer,Vancouver,British Columbia,West,Vista Mirror,Furniture,Decor,623.68,368.36,2494.72,498.94,1995.78,1473.44,522.34
ORD-01011,PROD-0036,1,441.84,0.0,CUST-0487,2024-10-02,Marketplace,Credit Card,Noah Evans,Consumer,Vancouver,British Columbia,West,Aurora Desk Lamp,Furniture,Decor,441.84,295.4,441.84,0.0,441.84,295.4,146.44
ORD-01012,PROD-0025,1,405.16,0.1,CUST-0454,2024-11-24,Online,Credit Card,Amelia Lewis,Home Office,St. John's,Newfoundland and Labrador,Atlantic,Atlas Meeting Table,Furniture,Office,405.16,272.93,405.16,40.52,364.64,272.93,91.71
ORD-01012,PROD-0057,4,85.49,0.1,CUST-0454,2024-11-24,Online,Credit Card,Amelia Lewis,Home Office,St. John's,Newfoundland and Labrador,Atlantic,Nova Bubble Mailer,Office Supplies,Mailroom,85.49,51.85,341.96,34.2,307.76,207.4,100.36
ORD-01013,PROD-0065,1,42.62,0.15,CUST-0383,2024-02-27,In-Store,Credit Card,William Lee,Corporate,Saskatoon,Saskatchewan,Prairies,Pioneer Rice Cooker,Home & Kitchen,Appliances,42.62,27.55,42.62,6.39,36.23,27.55,8.68
ORD-01013,PROD-0052,6,34.51,0.0,CUST-0383,2024-02-27,In-Store,Credit Card,William Lee,Corporate,Saskatoon,Saskatchewan,Prairies,Vista Document Tray,Office Supplies,Organization,34.51,23.4,207.06,0.0,207.06,140.4,66.66
ORD-01014,PROD-0118,4,20.34,0.0,CUST-0198,2024-07-24,Marketplace,Credit Card,Lily Hall,Corporate,Calgary,Alberta,West,Apex Slip-On Shoes,Apparel,Footwear,20.34,12.38,81.36,0.0,81.36,49.52,31.84
ORD-01014,PROD-0047,5,12.61,0.05,CUST-0198,2024-07-24,Marketplace,Credit Card,Lily Hall,Corporate,Calgary,Alberta,West,Evergreen Marker Kit,Office Supplies,Writing,12.61,7.95,63.05,3.15,59.9,39.75,20.15
ORD-01015,PROD-0023,2,248.85,0.05,CUST-0127,2025-11-28,Online,Credit Card,William Campbell,Corporate,Quebec City,Quebec,East,Evergreen Bookshelf,Furniture,Office,248.85,117.23,497.7,24.88,472.82,234.46,238.36
